what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.director,2.0.2.R36x_v20100823,"org.eclipse.equinox.p2.director",1308951118073
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1308951118073
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1308951118083
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1308951118083
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1308951118083
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1308951118093
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1308951118093
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1308951118113
started,bundle,org.eclipse.equinox.p2.publisher,1.1.2.v20100824-2220,"org.eclipse.equinox.p2.publisher",1308951118113
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1308951118113
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1308951118123
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.0.2.R36x_v20100823,"org.eclipse.equinox.p2.touchpoint.eclipse",1308951118123
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1308951118413
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1308951118413
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.updatesite",1308951118413
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1308951118413
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1308951118413
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1308951118413
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1308951118413
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1308951118413
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1308951118413
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1308951118413
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1308951118413
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1308951118413
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1308951118413
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1308951118413
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1308951118413
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1308951118423
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1308951118423
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1308951118423
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1308951118423
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1308951118423
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1308951118423
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1308951118423
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1308951118423
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1308951118423
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1308951118423
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1308951118433
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1308951118433
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1308951118433
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1308951118433
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1308951118433
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1308951118433
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1308951118433
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1308951118433
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1308951118433
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1308951118433
os,sysinfo,,,"win32",1308951118443
arch,sysinfo,,,"x86",1308951118443
ws,sysinfo,,,"win32",1308951118443
locale,sysinfo,,,"en_US",1308951118443
processors,sysinfo,,,"1",1308951118443
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1308951118443
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1308951118443
java.specification.name,sysinfo,,,"Java Platform API Specification",1308951118443
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1308951118443
java.specification.version,sysinfo,,,"1.6",1308951118443
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1308951118443
java.version,sysinfo,,,"1.6.0_26",1308951118443
java.vm.info,sysinfo,,,"mixed mode, sharing",1308951118443
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1308951118443
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1308951118443
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1308951118443
java.vm.specification.version,sysinfo,,,"1.0",1308951118443
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1308951118443
java.vm.version,sysinfo,,,"20.1-b02",1308951118443
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1308951118624
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1308951119114
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1308951119114
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1308951119195
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1308951119315
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1308951119575
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1308951140445
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1308951140505
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1308951140585
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1308951151751
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1308951151831
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951153594
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951156148
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951185019
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951195164
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1308951195174
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1308951195184
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951202034
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951250183
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951270031
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951273727
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1308951282239
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951302728
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951439355
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1308951439415
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1308951439415
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1308951442550
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951442650
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951444272
activated,view,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1308951445314
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1308951468517
activated,view,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1308951469909
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1308951485061
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1308951485872
started,bundle,org.eclipse.mylyn.wikitext.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1308951485892
started,bundle,org.eclipse.mylyn.wikitext.core,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.core",1308951485992
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1308951487124
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1308951487124
opened,editor,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.editors.task",1308951487234
activated,editor,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.editors.task",1308951487304
activated,view,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1308951491350
closed,editor,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.editors.task",1308951491350
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1308951494805
activated,view,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1308951498480
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951501785
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951503387
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951503437
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951503517
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1308951503517
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1308951505220
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951506371
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951572767
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1308951572787
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1308951576112
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951581369
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951660172
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1308951666321
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1308951666331
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951666622
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951670217
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1308951670227
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1308951670227
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951676135
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951683506
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951685980
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951697116
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1308951697156
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951699118
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951746797
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1308951746867
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1308951747107
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1308951747117
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951758464
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951787866
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951798371
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951909191
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1308951913457
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1308951913777
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951914158
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951921068
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951921949
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951922279
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308951926375
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1308952226026
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308952241328
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308952244292
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308952301231
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1308952301270
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308952303917
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308952303937
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308952304017
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308952306108
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1308952307834
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1308952313285
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308952313526
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308952313964
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1308952314285
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1308952351861
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1308952360193
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308952363458
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308952430504
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308952439738
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308952500285
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308952503810
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308952666864
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1308952669358
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308952676428
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308952679312
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308952682136
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308952831932
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308952848936
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308952849146
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1308952852351
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308952852671
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308952852882
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1308952941890
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308952945295
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308952945485
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308952972153
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308952981336
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308952988637
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308952997129
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1308953017639
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308953019061
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308953019231
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308953067701
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308953216955
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1308953223164
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308953223645
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1308953236874
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1308953238146
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308953243103
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308953316719
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308953331510
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308953336818
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1308953341955
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1308953341965
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1308953349666
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308953358178
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308953373601
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1308953378117
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308953380911
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308953386689
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1308953401090
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1308953404956
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308953410163
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308953427268
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1308953430562
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308953437312
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308953440246
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.javaAppletShortcut.run",1308953440286
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308953447397
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1308953448048
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1308953450000
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1308953456550
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1308953459394
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1308953466865
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308953470560
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308953476849
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308953477310
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1308953478642
